name,price,city_mpg,highway_mpg
2019 Toyota Camry Hybrid XLE,32773.0,44.0,47.0
2019 Toyota Camry SE,25746.5,28.0,39.0
2019 Toyota Camry XLE,32831.0,28.0,39.0
2019 Toyota Camry XSE,32176.666666666668,28.0,39.0
2019 Toyota Highlander Hybrid Limited,42485.0,29.0,27.0
2019 Toyota Highlander Hybrid Limited Platinum,46880.0,29.0,27.0
2019 Toyota Highlander Hybrid XLE,44065.0,29.0,27.0
2019 Toyota Highlander LE,32923.7,20.0,27.0
2019 Toyota Highlander LE Plus,34026.0,20.0,27.0
2019 Toyota Highlander Limited,39494.0,21.0,27.0
2019 Toyota Highlander Limited Platinum,44810.0,20.0,26.0
2019 Toyota Highlander SE,39556.0,21.0,27.0
2019 Toyota Highlander XLE,40210.2,20.0,26.0
2019 Toyota Prius LE,25173.0,52.0,48.0
2019 Toyota Prius Prime Advanced,35138.0,0.0,0.0
2019 Toyota Prius XLE,25497.0,54.0,50.0
2019 Toyota RAV4 Hybrid LE,29516.055555555555,41.0,38.0
2019 Toyota RAV4 Hybrid Limited,38242.142857142855,41.0,38.0
2019 Toyota RAV4 Hybrid XLE,33255.0,41.0,38.0
2019 Toyota RAV4 Hybrid XSE,38674.0,41.0,38.0
2019 Toyota RAV4 LE,26931.35714285714,26.0,35.0
2019 Toyota RAV4 XLE,29821.0,26.0,35.0
2019 Toyota RAV4 XLE Premium,33365.0,26.0,35.0
2019 Toyota Sequoia TRD Sport,60095.0,13.0,17.0
2019 Toyota Tacoma TRD Off Road,37354.0,18.0,22.0
2019 Toyota Tundra SR5,47570.0,13.0,18.0
2019 Toyota XLE,30564.0,0.0,0.0
2019 Toyota Yaris Sedan LE,18480.0,30.0,39.0
2019 Volkswagen Arteon 2.0T SEL,36833.0,20.0,27.0
2019 Volkswagen Atlas 2.0T SE,29722.0,22.0,26.0
2019 Volkswagen Atlas 3.6 V6 SEL R-Line,47730.0,17.0,23.0
2019 Volkswagen Atlas 3.6L S,31621.333333333332,17.0,23.0
2019 Volkswagen Atlas 3.6L SE w/Technology,37431.333333333336,0.0,0.0
2019 Volkswagen Atlas 3.6L SEL,43732.0,17.0,24.0
2019 Volkswagen Golf 1.4T SE,24856.666666666668,29.0,37.0
2019 Volkswagen Golf GTI SE,35199.0,24.0,32.0
2019 Volkswagen Golf SportWagen 1.4T SE,24770.0,27.0,36.0
2019 Volkswagen Jetta 1.4T S,17278.5,30.0,40.0
2019 Volkswagen Jetta GLI 2.0T S,26681.5,25.0,32.0
2019 Volkswagen Tiguan 2.0T S,24670.0,22.0,29.0
2019 Volkswagen Tiguan 2.0T SE,28872.5,21.0,29.0
2019 Volkswagen Tiguan 2.0T SEL,34685.0,22.0,29.0
2019 Volkswagen Tiguan 2.0T SEL R-Line Black,31739.0,22.0,29.0
2019 Volkswagen Tiguan SE,29460.0,21.0,29.0
2019 Volkswagen e-Golf SE,25383.5,126.0,111.0
2019 Volkswagen e-Golf SEL Premium,35239.0,0.0,0.0
2019 Volvo S60 T5 Momentum,38485.0,24.0,36.0
